address,lat,lon
4051 Santa Anita Avenue,48.4760417,-123.4162439
1504 Church Avenue,48.461421,-123.3374638
3884 Gordon Head Road,48.4647076,-123.3211817
4038 Quadra Street,48.4717451,-123.3690715
4280 Oakfield Crescent,48.48265,-123.370124
1550 Arrow Road,48.4712452,-123.3385424
4161 Glendenning Road,48.4794313,-123.3451114
4116 Torquay Drive,48.4787607,-123.3322715
1659 Bisley Place,48.4863616,-123.3291492
1853 Fairburn Drive,48.4740181,-123.3164923
246 Gorge Road East,48.443538,-123.3812867
2828 Rock Bay Avenue,48.4389266,-123.370873
3150 Jutland Road,48.4440033,-123.3748957
243 Gorge Road East,48.4426046,-123.3810231
360 Gorge Road East,48.4425285,-123.3771444
3293 Douglas Street,48.4491044,-123.3728811
155 Gorge Road East,48.4391097,-123.3693603
135 Gorge Road East,48.4414208,-123.3855351
120 Gorge Road East,48.4437542,-123.3854767
3366 Douglas Street,48.4513113,-123.3752206
3211 Harriet Road,48.4497296,-123.3838234
3442 Whittier Avenue,48.4532781,-123.3807212
171 Burnside Road West,48.4554886,-123.393995
216 Sims Avenue,48.4567742,-123.3877308
275 Burnside Road West,48.4534793,-123.3928279
971 Arundel Drive,48.4582012,-123.4124775
837 Ellery Street,48.436956,-123.3958081
948 Esquimalt Road,48.429466,-123.403055
840 Craigflower Road,48.4408933,-123.395957
874 Fleming Street,48.4400747,-123.3997474
521 Comerford Street,48.4293185,-123.4155437
1263 Colville Road,48.4373403,-123.4181724
109 Wilson Street,48.4311333,-123.380433
614 Esquimalt Road,48.4309608,-123.3893669
707 Esquimalt Road,48.4306507,-123.392234
724 Sea Terrace,48.4308975,-123.3942325
3216 Alder Street,48.44914,-123.367187
2664 Blackwood Street,48.4398313,-123.3541269
3330 Glasgow Avenue,48.4491568,-123.3638703
870 Short Street,48.4534564,-123.3733987
880 Vernon Avenue,48.4567712,-123.3716158
974 Greenridge Crescent,48.4663187,-123.3681183
3890 Blenkinsop Road,48.4641695,-123.3503751
1279 McKenzie Avenue,48.4715133,-123.3526407
2528 Graham Street,48.43598,-123.3551757
2790 Cedar Hill Road,48.4408885,-123.3448474
1825 Kings Road,48.4377474,-123.3280555
2525 Cook Street,48.4357803,-123.3518865
1710 Denman Street,48.4326656,-123.332556
1635 Haultain Street,48.4358636,-123.3346317
2210 Victor Street,48.4313907,-123.337312
647 Michigan Street,48.4168749,-123.3677124
450 Superior Street,48.418323,-123.3680074
425 Simcoe Street,48.415664,-123.374981
30 Douglas Street,48.4099321,-123.3693614
215 Oswego Street,48.4176904,-123.3778861
950 Humboldt Street,48.4182104,-123.3596363
490 Vancouver Street,48.4172121,-123.3592986
504 Linden Avenue,48.4171656,-123.3523707
186 Olive Street,48.4106204,-123.3490787
1401 Fort Street,48.4239581,-123.3437125
1035 Belmont Avenue,48.4244842,-123.3360574
1720 Richmond Avenue,48.4278204,-123.3302303
1968 Bee Street,48.4312368,-123.3217025
1787 Elgin Road,48.4296667,-123.3192611
2223 Oak Bay Avenue,48.4265305,-123.3363536
2326 Oak Bay Avenue,48.4267308,-123.3118892
2707 Estevan Avenue,48.4356189,-123.3029079
1164 North Park Street,48.4296375,-123.3504539
1500 Chambers Street,48.4273645,-123.3505474
1222 Yukon Street,48.4287477,-123.3491578
1205 Rudlin Street,48.4262254,-123.3501199
1147 View Street,48.4237001,-123.3515033
1381 Pandora Avenue,48.4265435,-123.3433688
1575 Begbie Street,48.4284598,-123.33706
1841 Fern Street,48.429356,-123.3341777
875 North Park Street,48.4297099,-123.3596769
926 Green Street,48.4316249,-123.3572468
1613 Quadra Street,48.4226825,-123.3600429
945 Balmoral Road,48.4286085,-123.357374
467 Swift Street,48.4294043,-123.3700519
865 View Street,48.4247081,-123.3602457
930 Yates Street,48.4258575,-123.3580012
729 Violet Avenue,48.46599100,-123.39936200
640 Marigold Road,48.46674090,-123.40201940
1072 Gerda Road,48.48211420,-123.40140630
744 Miller Avenue,48.48989830,-123.39761190
4363 Ridgewood Crescent,48.48701360,-123.40057660
1283 Lidgate Court,48.47465130,-123.41531250
1231 Hastings Street,48.47832890,-123.41183650
