Address
"729 Violet Avenue 
"
"640 Marigold Road 
"
"640 Marigold Road 
"
1072 Gerda Road
744 Miller Avenue
4363 Ridgewood Crescent
4363 Ridgewood Crescent
"1283 Lidgate Court 
"
1231 Hastings Street
4051 Santa Anita Avenue
1504 Church Avenue
1504 Church Avenue
3884 Gordon Head Road
4038 Quadra Street
4280 Oakfield Crescent
1550 Arrow Road
4161 Glendenning Road
4116 Torquay Drive
1659 Bisley Place 
1659 Bisley Place 
1659 Bisley Place
1853 Fairburn Drive 
1853 Fairburn Drive 
246 Gorge Road East
246 Gorge Road East 
246 Gorge Road East 
246 Gorge Road East 
"246 Gorge Road East 
"
246 Gorge Road East 
246 Gorge Road East 
246 Gorge Road East 
2828 Rock Bay Avenue 
2828 Rock Bay Avenue 
3150 Jutland Road 
243 Gorge Road East 
360 Gorge Road East 
360 Gorge Road East 
3293 Douglas Street 
155 Gorge Road East 
135 Gorge Road East 
135 Gorge Road East 
120 Gorge Road East 
3366 Douglas Street 
3211 Harriet Road 
3442 Whittier Avenue 
171 Burnside Road West 
216 Sims Avenue 
275 Burnside Road West 
275 Burnside Road West 
971 Arundel Drive 
837 Ellery Street 
948 Esquimalt Road 
840 Craigflower Road 
874 Fleming Street 
521 Comerford Street 
521 Comerford Street 
1263 Colville Road 
109 Wilson Street 
614 Esquimalt Road 
707 Esquimalt Road 
707 Esquimalt Road 
724 Sea Terrace 
3216 Alder Street
2664 Blackwood Street
2664 Blackwood Street
3330 Glasgow Avenue
870 Short Street
880 Vernon Avenue
974 Greenridge Crescent
3890 Blenkinsop Road
1279 McKenzie Avenue
2528 Graham Street
2790 Cedar Hill Road
1825 Kings Road
1825 Kings Road
1825 Kings Road
2525 Cook Street
1710 Denman Street
1635 Haultain Street
2210 Victor Street
647 Michigan Street
450 Superior Street
425 Simcoe Street
30 Douglas Street
215 Oswego Street
950 Humboldt Street
490 Vancouver Street
504 Linden Avenue
186 Olive Street
1401 Fort Street
1035 Belmont Avenue
1720 Richmond Avenue
1968 Bee Street
1787 Elgin Road
1787 Elgin Road
2223 Oak Bay Avenue
2326 Oak Bay Avenue
2707 Estevan Avenue
1164 North Park Street
1500 Chambers Street
1222 Yukon Street
1205 Rudlin Street
1147 View Street
1381 Pandora Avenue
1381 Pandora Avenue
1381 Pandora Avenue
"1575 Begbie Street 
"
1575 Begbie Street 
1841 Fern Street
875 North Park Street
926 Green Street 
1613 Quadra Street
945 Balmoral Road
467 Swift Street
865 View Street
865 View Street
865 View Street
865 View Street
865 View Street
865 View Street
865 View Street
930 Yates Street
